sku_name,dc_code
Pro Series 7.0,ATL
Pro Series 7.0,MIA
Pro Series 7.0,LAX
Pro Series 7.0,IAD
Pro Series 7.0,TOR
Pro Series 7.0,POR
Cluster 5.0 (Dell R440),ATL
Cluster 5.0 (Dell R440),MIA
Cluster 5.0 (Dell R440),LAX
Cluster 5.0 (Dell R440),IAD
Cluster 5.0 (Dell R440),TOR
Atomic 5.0 (Dell R650xs),ATL
Atomic 5.0 (Dell R650xs),MIA
Atomic 5.0 (Dell R650xs),LAX
Atomic 5.0 (Dell R650xs),IAD
Atomic 5.0 (Dell R650xs),TOR
Pro Series 6.0 - M,ATL
Pro Series 6.0 - M,MIA
Pro Series 6.0 - M,LAX
Pro Series 6.0 - M,IAD
Pro Series 6.0 - M,TOR
Pro Series 6.0 - M,POR
Advanced Series 6.0 - M,ATL
Advanced Series 6.0 - M,MIA
Advanced Series 6.0 - M,LAX
Advanced Series 6.0 - M,IAD
Advanced Series 6.0 - M,TOR
Advanced Series 6.0 - M,POR
Storage Series 6.0 - M,ATL
Storage Series 6.0 - M,MIA
Storage Series 6.0 - M,LAX
Storage Series 6.0 - M,IAD
Storage Series 6.0 - M,TOR
Storage Series 6.0 - M,POR
Essential Series 6.0 - M,ATL
Essential Series 6.0 - M,MIA
Essential Series 6.0 - M,LAX
Essential Series 6.0 - M,IAD
Essential Series 6.0 - M,TOR
Essential Series 6.0 - M,POR
Pro Series 5.0 - M,ATL
Pro Series 5.0 - M,MIA
Pro Series 5.0 - M,LAX
Pro Series 5.0 - M,IAD
Pro Series 5.0 - M,TOR
Pro Series 5.0 - M,POR
Advanced Series 5.0 - M,ATL
Advanced Series 5.0 - M,MIA
Advanced Series 5.0 - M,LAX
Advanced Series 5.0 - M,IAD
Advanced Series 5.0 - M,TOR
Advanced Series 5.0 - M,POR
Storage Series 5.0 - M,ATL
Storage Series 5.0 - M,MIA
Storage Series 5.0 - M,LAX
Storage Series 5.0 - M,IAD
Storage Series 5.0 - M,TOR
Storage Series 5.0 - M,POR
Pro Series 6.0 vHost,ATL
Pro Series 6.0 vHost,MIA
Pro Series 6.0 vHost,LAX
Pro Series 6.0 vHost,IAD
Pro Series 6.0 vHost,TOR
Pro Series 6.0 vHost,POR
Advanced Series 6.0 vHost,ATL
Advanced Series 6.0 vHost,MIA
Advanced Series 6.0 vHost,LAX
Advanced Series 6.0 vHost,IAD
Advanced Series 6.0 vHost,TOR
Advanced Series 6.0 vHost,POR
Pro Series 5.0 vHost,ATL
Pro Series 5.0 vHost,MIA
Pro Series 5.0 vHost,LAX
Pro Series 5.0 vHost,IAD
Pro Series 5.0 vHost,TOR
Pro Series 5.0 vHost,POR
Advanced Series 5.0 vHost,ATL
Advanced Series 5.0 vHost,MIA
Advanced Series 5.0 vHost,LAX
Advanced Series 5.0 vHost,IAD
Advanced Series 5.0 vHost,TOR
Advanced Series 5.0 vHost,POR
Storage Series 5.0 vHost,ATL
Storage Series 5.0 vHost,MIA
Storage Series 5.0 vHost,LAX
Storage Series 5.0 vHost,IAD
Storage Series 5.0 vHost,TOR
Storage Series 5.0 vHost,POR
