category,sku,nrc_usd,mrc_monthly_usd,mrc_12m_usd,mrc_24m_usd,mrc_36m_usd,watts_added,capex_usd,software_cost_actual_usd,notes
Processor,Intel Xeon Gold 6226 2.7GHz 12 Cores/24T,0,0,0,0,0,50,0,,
Processor,Intel Xeon Bronze 3106 1.7 GHz 8 Cores/8T,0,58,58,58,58,40,160,,
Processor,Default Xeon Bronze 3106 1.7 GHz 8 Cores/8T,0,0,0,0,0,40,160,,
Processor,Intel Xeon Silver 4110 2.1 GHz 8 Cores/16T,0,91,91,91,91,40,200,,
Processor,Intel Xeon Gold 5118 2.3 GHz 12 Cores/24T,0,219,219,219,219,50,1300,,
Processor,Default Xeon Gold 5118 2.3 GHz 12 Cores/24T,0,0,0,0,0,50,1300,,
Processor,Intel Xeon Gold 5122 3.6 GHz 4 Cores/8T (MTO),0,214,214,214,214,50,1100,,
Processor,Intel Xeon Gold 6130 2.1 GHz 16 Cores/32T (MTO),0,329,329,329,329,70,1600,,
Processor,Intel Xeon Gold 6138 2.0 GHz 20 Cores/40T (MTO),0,451,451,451,451,70,1800,,
Processor,Intel Xeon Gold 6238R 2.2 GHz 28C/56T,0,0,0,0,0,,,,
Processor,Intel Xeon E-2146G 3.5GHz 6C/12T,0,0,0,0,0,,,,
Processor,Intel Xeon E-2468 2.6GHz 8C/16T,0,0,0,0,0,,,,
Processor,"Intel Xeon Silver 4514Y 2G, 16C/32T",0,130,130,100,80,150,890,,
Processor,"Default Intel Xeon Silver 4514Y 2G, 16C/32T",0,0,0,0,0,150,890,,
Processor,"Intel Xeon Gold 6534 4G, 8C/16T",0,460,460,350,300,195,3190,,
Processor,"Intel Xeon Gold 6526Y 2.9G, 16/32T",0,250,250,190,160,195,1725,,
Processor,"Default Intel Xeon Gold 6526Y 2.9G, 16/32T",0,0,0,0,0,195,1725,,
Processor,"Intel Xeon Gold 6548Y+ 2.5G, 32C/64T",0,600,600,470,400,250,4220,,
Processor,"Intel Xeon Platinum 8558U 2G, 48C/96T",0,600,600,470,400,300,4215,,
RAM,16 GB DDR4 RAM,0,32,32,32,32,,160,,
RAM,32 GB DDR4 RAM,0,64,64,64,64,,320,,
RAM,64 GB DDR4 RAM,0,128,128,128,128,,640,,
RAM,96 GB DDR4 RAM,0,192,192,192,192,,960,,
RAM,128 GB DDR4 RAM,0,256,256,256,256,,1280,,
RAM,192 GB DDR4 RAM,0,384,384,384,384,,1920,,
RAM,256 GB DDR4 RAM,0,512,512,512,512,,2560,,
RAM,384 GB DDR4 RAM,0,768,768,768,768,,3840,,
RAM,512 GB DDR4 RAM,0,1024,1024,1024,1024,,5120,,
RAM,768 GB DDR4 RAM,0,1536,1536,1536,1536,,7680,,
RAM,1536 GB DDR4 RAM,0,3072,3072,3072,3072,,15360,,
RAM,16 GB DDR5 RAM,0,10,10,5,5,,67,,
RAM,32 GB DDR5 RAM,0,15,15,10,10,,107,,
RAM,64 GB DDR5 RAM,0,40,40,30,30,,268,,
RAM,128 GB DDR5 RAM,0,80,80,60,50,,536,,
RAM,192 GB DDR5 RAM,0,110,110,90,80,,804,,
RAM,256 GB DDR5 RAM,0,120,120,100,80,,856,,
RAM,384 GB DDR5 RAM,0,180,180,140,120,,1284,,
RAM,512 GB DDR5 RAM,0,250,250,200,170,,1768,,
RAM,768 GB DDR5 RAM,0,380,380,290,250,,2652,,
RAM,1024 GB DDR5 RAM,0,510,510,390,340,,3536,,
RAM,1536 GB DDR5 RAM,0,760,760,590,510,,5304,,
RAM,2048 GB DDR5 RAM,0,1010,1010,790,670,,7072,,
Drive,1 TB 7200 6 Gb/s SATA,0,16,16,16,16,,80,,
Drive,2 TB 7200 6 Gb/s SATA,0,26,26,26,26,,145,,
Drive,4 TB 7200 6 Gb/s SATA,0,36,36,36,36,,180,,
Drive,12 TB 7200 6 Gb/s SATA,0,97,97,97,97,,300,,
Drive,480 GB SSD,0,0,0,0,0,,85,,Default Drive
Drive,480 GB SATA 2.5in SSD,0,20,20,20,10,,149,,
Drive,960 GB SATA 2.5in SSD,0,30,30,20,20,,185,,
Drive,1.92 TB SATA 2.5in SSD,0,50,50,40,30,,349,,
Drive,3.84 TB SATA 2.5in SSD,0,50,50,40,40,,379,,
Drive,7.6 TB Micron 9400 SSD,0,60,60,50,40,,430,,
Drive,960 GB NVMe u.2 2.5in,0,40,40,30,30,,300,,
Drive,3.84 TB NVMe u.2 2.5in,0,100,100,80,60,,680,,
Drive,6.4 TB NVMe u.2 2.5in,0,180,180,140,120,,1260,,
Drive,15.36 TB NVMe u.2 2.5in,0,300,300,230,200,,2100,,
PSU,750W Redundant Power Supply,0,25,25,25,25,,150,,
Network Card,Intel X710-DA2 10 GbE NIC with 2 x SFP+,0,100,100,100,100,,295,,
Network Card,"Intel X710 Quad Port 10Gb DA/SFP+ Ethernet, NDC",0,83,83,83,83,,530,,
