category,sku,nrc_usd,mrc_monthly_usd,mrc_12m_usd,mrc_24m_usd,mrc_36m_usd,watts_added,capex_usd,software_cost_actual_usd,notes
Monitoring,LM Basic Monitoring,0,0,0,0,0,,,4.58,
Monitoring,LM Dedicated Monitoring,0,0,0,0,0,,,4.58,
Monitoring,LM Standard Monitoring,0,25,25,25,25,,,4.58,
Monitoring,Monitoring Opt-out,0,0,0,0,0,,,,
SQL,SQL Server 2022 Standard Edition,0,103.75,103.75,103.75,103.75,,,72.595,
SQL,SQL Server 2022 Enterprise Edition,0,390.5,390.5,390.5,390.5,,,278.9046,
SQL,SQL Server 2019 Web Edition,0,6.5,6.5,6.5,6.5,,,4.54,
SQL,SQL Server 2019 Standard Edition,0,103.75,103.75,103.75,103.75,,,72.595,
SQL,SQL Server 2019 Enterprise Edition,0,390.5,390.5,390.5,390.5,,,273.325,
Remote Access,1 pack - Windows Remote Desktop Service SAL,0,10,10,10,10,,,6.69,
Remote Access,5 pack - Windows Remote Desktop Service SAL,0,48,48,48,48,,,33.45,
Remote Access,10 pack - Windows Remote Desktop Service SAL,0,96,96,96,96,,,66.9,
Remote Access,20 pack - Windows Remote Desktop Service SAL,0,192,192,192,192,,,133.8,
OS,Alma Linux 8,0,0,0,0,0,,,0,
OS,Alma Linux 9,0,0,0,0,0,,,0,
OS,Rocky Linux 8,0,0,0,0,0,,,0,
OS,Rocky Linux 9,0,0,0,0,0,,,0,
OS,Rocky Linux 10,0,0,0,0,0,,,0,
OS,RHEL 9.x,0,116,116,116,116,,,86.9,
OS,RHEL 9.x VDC for Unlimited Linux Guests,0,314,314,314,314,,,235.4,
OS,RHEL 9.x for VMs,0,21,21,21,21,,,15.4,
OS,RHEL 8.x,0,116,116,116,116,,,86.9,
OS,RHEL 8.x VDC for Unlimited Linux Guests,0,314,314,314,314,,,235.4,
OS,RHEL 8.x for VMs,0,21,21,21,21,,,15.4,
OS,RHEL for VMs - 1 to 8 vCPUs,0,13,13,13,13,,,9.743,pricing / costs are per vCPU
OS,RHEL for VMs - 9 to 127 vCPUs,0,10,10,10,10,,,7.307,pricing / costs are per vCPU
OS,RHEL for VMs - 128 to Unlimited vCPUs,0,8,8,8,8,,,6.333,pricing / costs are per vCPU
OS,CentOS 8,0,0,0,0,0,,,0,
OS,Debian 12,0,0,0,0,0,,,0,
OS,Debian 13,0,0,0,0,0,,,0,
OS,Ubuntu 22.04 LTS,0,0,0,0,0,,,0,
OS,Ubuntu 24.04 LTS,0,0,0,0,0,,,0,
OS,Windows Server 2025 Standard Edition,0,3.5,3.5,3.5,3.5,,,2.45,
OS,Windows Server 2025 Data Center Edition,0,24.25,24.25,24.25,24.25,,,16.975,
OS,Windows Server 2022 Standard Edition,0,3.5,3.5,3.5,3.5,,,2.45,
OS,Windows Server 2022 Data Center Edition,0,24.25,24.25,24.25,24.25,,,16.975,
OS,Windows Server 2019 Standard Edition,0,3.5,3.5,3.5,3.5,,,2.45,
OS,Windows Server 2019 Data Center Edition,0,24.25,24.25,24.25,24.25,,,16.975,
VMWare,VMWare ESXi 8.x,0,0,0,0,0,,,0,
VMWare,VMWare ESXi 7.x,0,0,0,0,0,,,0,
VMWare,VMWare License,0,32,27.43,25,23.26,,,20,
Proxmox,Proxmox VE License,0,0,0,0,0,,,0,
Backup,Managed Veeam,0,35,35,35,35,,,17.0457471,
Backup,Veeam - Local Storage,0,0.154,0.154,0.154,0.154,,,0.009636678,
Backup,Veeam - Offsite Storage,0,0.308,0.308,0.308,0.308,,,0.019273356,
Backup,Tivoli Backup - Daily Incremental,0,99.95,99.95,99.95,99.95,,,5.6000000000000005,
Backup,Tivoli Backup - Daily Incremental Offsite to Atlanta - Low,0,149.95,149.95,149.95,149.95,,,5.6000000000000005,
Backup,Tivoli Backup - Daily Incremental Remote,0,99.95,99.95,99.95,99.95,,,5.6000000000000005,
Backup,Tivoli Backup - Daily Incremental with Offsite to Atlanta,0,149.95,149.95,149.95,149.95,,,5.6000000000000005,
Backup,Tivoli Backup - Daily Incremental with Offsite to Miami,0,149.95,149.95,149.95,149.95,,,5.6000000000000005,
Backup,Tivoli Backup - Daily Incremental with Offsite to Toronto,0,149.95,149.95,149.95,149.95,,,5.6000000000000005,
Backup,Tivoli Backup - Daily Low,0,99.95,99.95,99.95,99.95,,,5.6000000000000005,
Backup,Tivoli Backup - Weekly Incremental,0,74.95,74.95,74.95,74.95,,,5.6000000000000005,
Backup,Tivoli Backup - Weekly Incremental Remote,0,74.95,74.95,74.95,74.95,,,5.6000000000000005,
Backup,Tivoli Backup - Weekly Incremental with Offsite to Atlanta,0,124.95,124.95,124.95,124.95,,,5.6000000000000005,
Backup,Tivoli Backup - Weekly Incremental with Offsite to Miami,0,124.95,124.95,124.95,124.95,,,5.6000000000000005,
Backup,Tivoli Backup - Weekly Incremental with Offsite to Toronto,0,124.95,124.95,124.95,124.95,,,5.6000000000000005,
Backup,Tivoli TDP for MS-SQL - Daily 1Hr Logs,0,99,99,99,99,,,5.6000000000000005,
Backup,Tivoli TDP for MS-SQL - Daily 2Hr Logs,0,99,99,99,99,,,5.6000000000000005,
Backup,Tivoli TDP for MS-SQL - Daily 4Hr Logs,0,99,99,99,99,,,5.6000000000000005,
Backup,Tivoli TDP for MS-SQL - Weekly 4Hr Logs,0,75,75,75,75,,,5.6000000000000005,
Backup,Cristie - Bare Metal Recovery Service,0,50,50,50,50,,,19.38,
Backup,10 GB Backup Blocks,0,5,5,5,5,,,0.56,
Backup,25 GB Backup Blocks,0,13,13,13,13,,,1.4000000000000001,
Backup,50 GB Backup Block,0,25,25,25,25,,,2.8000000000000003,
Backup,100 GB Backup Block,0,50,50,50,50,,,5.6000000000000005,
Backup,200 GB Backup Block,0,100,100,100,100,,,11.200000000000001,
Backup,300 GB Backup Block,0,150,150,150,150,,,16.8,
Backup,400 GB Backup Block,0,200,200,200,200,,,22.400000000000002,
Backup,500 GB Backup Block,0,250,250,250,250,,,28,
Backup,600 GB Backup Block,0,300,300,300,300,,,33.6,
Backup,700 GB Backup Block,0,350,350,350,350,,,39.2,
Backup,800 GB Backup Block,0,400,400,400,400,,,44.800000000000004,
Backup,900 GB Backup Block,0,450,450,450,450,,,50.4,
Backup,1000 GB Backup Block,0,500,500,500,500,,,56,
Backup,1100 GB Backup Block,0,550,550,550,550,,,61.6,
Backup,1200 GB Backup Block,0,600,600,600,600,,,67.2,
Backup,1300 GB Backup Block,0,650,650,650,650,,,72.8,
Backup,1400 GB Backup Block,0,700,700,700,700,,,78.4,
Backup,1500 GB Backup Block,0,750,750,750,750,,,84,
Backup,1600 GB Backup Block,0,800,800,800,800,,,89.60000000000001,
Backup,1700 GB Backup Block,0,850,850,850,850,,,95.2,
Backup,1800 GB Backup Block,0,900,900,900,900,,,100.8,
Backup,1900 GB Backup Block,0,950,950,950,950,,,106.4,
Backup,2000 GB Backup Block,0,1000,1000,1000,1000,,,112,
