product_sku,fusion_id,sku_name,match_type,fuzzy_score
Promo Server - NA (Dell R640),,,no_match,56.4
Promo Server - UK (Dell R640),,,no_match,56.4
R670 - Pro Series 7.0,1290,Pro Series 7.0,fuzzy,84.8
R670 - Pro Series 7.0 vHost,944,Pro Series 5.0 vHost,fuzzy,84.4
R670 - Pro Series 7.0 vHost,1259,Pro Series 6.0 vHost,fuzzy,84.4
R470 - Advanced Series 7.0,1292,Advanced Series 7.0,fuzzy,88.4
R470 - Advanced Series 7.0 vHost,959,Advanced Series 5.0 vHost,fuzzy,87.3
R470 - Advanced Series 7.0 vHost,1258,Advanced Series 6.0 vHost,fuzzy,87.3
Cluster 5.0 (Dell R440),1288,Cluster 5.0,fuzzy,68.8
Atomic 5.0 (Dell R650xs),,,no_match,62.5
Pro Series 6.0,1254,Pro Series 6.0,direct,
Pro Series 6.0 vHost,1259,Pro Series 6.0 vHost,direct,
Advanced Series 6.0,1255,Advanced Series 6.0,direct,
Advanced Series 6.0 vHost,1258,Advanced Series 6.0 vHost,direct,
Storage Series 6.0,1263,Storage Series 6.0,direct,
Essential Series 6.0,1262,Essential Series 6.0,direct,
Pro Series 5.0,943,Pro Series 5.0,direct,
Pro Series 5.0 vHost,944,Pro Series 5.0 vHost,direct,
Storage Series 5.0,945,Storage Series 5.0,direct,
Storage Series 5.0 vHost,950,Storage Series 5.0 - D,fuzzy,86.4
Advanced Series 5.0,957,Advanced Series 5.0,direct,
Advanced Series 5.0 vHost,959,Advanced Series 5.0 vHost,direct,
Essential Series 5.0,1262,Essential Series 6.0,fuzzy,95.0
Guest Virtual,336,Guest Virtual,direct,
Juniper SRX 300,930,Juniper SRX 300,direct,
Juniper SRX 340,931,Juniper SRX 340,direct,
Juniper SRX 345,932,Juniper SRX 345,direct,
Managed Citrix ADC,976,Managed Citrix ADC - VIRTUAL,fuzzy,81.8
"Dynamic SSL VPN: 2 Concurrent Users, Included",,,no_match,64.4
"Dynamic SSL VPN: 5 Concurrent Users, 1 Yr",6279,Active node - Remote Access VPN - 5 Concurrent Users - 1year,fuzzy,68.8
"Dynamic SSL VPN: 25 Concurrent Users, 1 Yr",6279,Active node - Remote Access VPN - 5 Concurrent Users - 1year,fuzzy,68.1
