has_cost,fusion_id,sku_name_pb,sku_level_pb,is_available,fusion_category,fusion_type,active_deployments,last_provisioned,sku_name,sku_level_osc,sku_category,sku_type,sku_cost,cost_currency,vendor,USD_MRC,USD_NRC,CAD_MRC,CAD_NRC,EUR_MRC,EUR_NRC,GBP_MRC,GBP_NRC
False,5983,/125 IPv6 Block for NS,Component,True,Connectivity,IP Addresses,1,2023-10-03,,,,,,,,,,0.0,0.0,,,,
False,4660,/126 IPv6 Block,Component,True,Colo,Connectivity,0,2020-02-24,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,5765,/126 IPv6 block for NS,Component,True,Connectivity,IP Addresses,5,2024-01-10,,,,,,,,,,0.0,0.0,,,,
False,5022,"/16 IPv4 block (65536 total, 65533 customer-usable addresses)",Component,True,Colo,Connectivity,0,,,,,,,,,,,10000.0,0.0,,,,
False,4072,"/19 IPv4 block (8192 total, 8189 customer-usable addresses)",Component,True,Network,IPs,0,2018-05-31,,,,,,,,8192.0,0.0,,,,,,
False,3963,"/20 IPv4 block (4096 total, 4093 customer-usable addresses)",Component,True,Network,IPs,0,,,,,,,,,0.0,4096.0,,,,,,
False,4356,"/20 IPv4 block (4096 total, 4093 customer-usable addresses)",Component,True,Colo,Connectivity,0,2019-12-05,,,,,,,,4096.0,0.0,4096.0,0.0,,,4096.0,0.0
False,5975,"/21 IPv4 block (2048 total, 2045 customer addresses) for NS",Component,True,Connectivity,IP Addresses,0,,,,,,,,,,,2048.0,0.0,,,,
False,5973,"/22 IPv4 block (1024 total, 1021 customer addresses) for NS",Component,True,Connectivity,IP Addresses,0,2023-10-27,,,,,,,,,,1100.0,0.0,,,,
False,4451,"/22 IPv4 block (1024 total, 1021 customer-usable addresses)",Component,True,Colo,Connectivity,1,2023-02-06,,,,,,,,1024.0,0.0,1024.0,0.0,,,2048.0,0.0
False,5199,"/23 IPv4 block (512 total, 509 customer addresses) for NS",Component,True,Connectivity,IP Addresses,3,2026-01-30,,,,,,,,472.0,0.0,632.0,0.0,,,366.0,0.0
False,5165,"/23 IPv4 block (512 total, 509 customer-usable addresses)",Component,True,Colo,Connectivity,1,2023-02-06,,,,,,,,512.0,0.0,630.5,0.0,,,1024.0,0.0
False,4949,/24 - Customer Supplied IP Range,Component,True,Colo,DDoS,0,,,,,,,,,670.0,0.0,890.0,0.0,,,530.0,0.0
False,4967,/24 - Customer Supplied IP Range,Component,True,Security,Imperva DDoS,0,,,,,,,,,670.0,0.0,670.0,0.0,,,530.0,0.0
False,4948,/24 - Protected IP Range (254 Usable),Component,True,Colo,DDoS,2,2023-10-18,,,,,,,,670.0,0.0,890.0,0.0,,,530.0,0.0
False,4966,/24 - Protected IP Range (254 Usable),Component,True,Security,Imperva DDoS,1,2022-02-18,,,,,,,,670.0,0.0,890.0,0.0,,,530.0,0.0
False,5200,"/24 IPv4 block (256 total, 253 customer addresses) for NS",Component,True,Connectivity,IP Addresses,106,2026-01-06,,,,,,,,238.0,0.0,316.0,0.0,,,183.0,0.0
False,4011,"/24 IPv4 block (256 total, 253 customer usable addresses)",Component,True,Network,IPs,2,2025-09-16,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,3923,"/24 IPv4 block (256 total, 253 customer-usable addresses)",Component,True,Colo,Connectivity,1,2023-09-29,,,,,,,,256.0,0.0,256.0,0.0,,,512.0,0.0
False,4947,/25 - Protected IP Range (126 Usable),Component,True,Colo,DDoS,1,2022-08-18,,,,,,,,330.0,0.0,440.0,0.0,,,260.0,0.0
