"client_id","company_name","service_id","nickname","server_name","product","service_status","os","currency","provision_date","datacenter_name","datacenter_city","datacenter_code","line_of_business","device_id","service_type","mrc","usd_mrc","cad_mrc","contract_length","contract_months_remaining","last_updated","cad_budget_mrc","fusion_id","adjusted_line_of_business"
5633734,Zola Levitt Ministries,5328819,ZolaLevittMinistries.BW,"5328819",Bandwidth Blocks,Online,,USD,2018-04-09 08:41:15.276,Miami,Miami,MIA,Managed Hosting,,bandwidth,221.2800,221.2800,298.0409,1,1,2026-03-31 07:46:03.176,294.3024,23,Hosting
5633734,Zola Levitt Ministries,7287732,Levitt.Firewall.2021,"7287732",Juniper SRX 340,Online,,USD,2021-12-28 17:05:19.136,Miami,Miami,MIA,Managed Hosting,d8631980-5cfd-11ec-8b4b-005056af6820,firewall,273.1600,273.1600,367.9178,36,1,2026-03-31 07:46:03.176,363.3028,931,Hosting
5633734,Zola Levitt Ministries,7337504,server.levitt.com.2022,"7337504",Essential Series 5.0,Online,RHEL 8.x (1-2 proc) MH,USD,2022-06-13 15:35:55.433,Miami,Miami,MIA,Managed Hosting,d7383374-e67d-11ec-befc-005056af6820,server,1101.0580,1101.0580,1483.0095,24,1,2026-03-31 07:46:03.176,1464.4071,975,Hosting
4006377,ZeroLatitude,7274702,ZeroLatitude - Essential 5.0 - 2021,"7274702",Essential Series 5.0 - D,Online,Windows Server 2019 Standard Edition 8 Core (4 x 2 pack),USD,2021-10-22 11:37:31.180,South Pointe,Herndon,IAD2,Dedicated Hosting,"7049c298-30db-11ec-b935-005056af2b52",server,326.8900,326.8900,440.2865,28,1,2026-03-31 07:46:03.176,434.7637,974,Hosting
7000528,"ZERMAT, U.S.A., INC.",6409330,Juniper SRX 300 Firewall,"6409330",Juniper SRX 300,Online,,USD,2020-07-05 06:29:44.016,Atlanta,Atlanta,ATL,Managed Hosting,db5a4c3c-817e-11ea-a322-005056af2b51,firewall,90.0000,90.0000,121.2206,1,1,2026-03-31 07:46:03.176,119.7000,930,Hosting
7000528,"ZERMAT, U.S.A., INC.",7363648,Web.2019.Zermat,"7363648",Advanced Series 5.0,Online,Windows Server 2019 Standard Edition 8 Core (4 x 2 pack),USD,2022-08-08 15:34:25.306,Atlanta,Atlanta,ATL,Managed Hosting,"290a9832-133c-11ed-a2c2-005056af2b51",server,620.0000,620.0000,835.0749,24,1,2026-03-31 07:46:03.176,824.6000,957,Hosting
7000528,"ZERMAT, U.S.A., INC.",7776959,DB.2019.Zermat,"7776959",Advanced Series 5.0,Online,Windows Server 2019 Standard Edition 16 Core (8 x 2 pack),USD,2023-07-31 09:10:48.660,Atlanta,Atlanta,ATL,Managed Hosting,b57ab7ee-0eb2-11ee-80d9-005056af2b51,server,2340.0000,2340.0000,3151.7343,24,1,2026-03-31 07:46:03.176,3112.2000,957,Hosting
7000528,"ZERMAT, U.S.A., INC.",7776960,Zermat_USA_DB_Server_Migration,"7776960",Professional Services,Online,,USD,2023-08-16 15:20:15.503,Atlanta,Atlanta,ATL,Professional Services,,Managed Services,0.0000,0.0000,0.0000,1,1,2026-03-31 07:46:03.176,0.0000,928,Professional Services
7000528,"ZERMAT, U.S.A., INC.",7880153,SSL Certificate WEBSIZUSA.NET,"7880153",SSL Certificates for Hosting,Online,,USD,2024-06-24 10:45:42.376,Atlanta,Atlanta,ATL,Managed Hosting,,Security,0.0000,0.0000,0.0000,1,1,2026-03-31 07:46:03.176,0.0000,1243,Hosting
7000528,"ZERMAT, U.S.A., INC.",7930852,SSL Certificate ZERMATUSA.COM,"7930852",SSL Certificates for Hosting,Online,,USD,2025-06-09 12:35:08.473,Atlanta,Atlanta,ATL,Managed Hosting,,Security,0.0000,0.0000,0.0000,12,3,2026-03-31 07:46:03.176,0.0000,1243,Hosting
4028092,Zaui Software Ltd,6230355,HCM.ZAUI,"6230355",HCM - Aptum Cloud/Managed Cloud,Online,,CAD,2020-03-07 10:38:09.313,AZURE-CAN,Canada,AZURE-CAN,Cloud Services,,Public Cloud,0.0000,0.0000,0.0000,1,1,2026-03-31 07:46:03.176,0.0000,1017,Cloud
4028092,Zaui Software Ltd,7076524,Microsoft Cloud,Microsoft Cloud,Microsoft Cloud,Online,,CAD,2021-05-24 13:51:37.266,Cloud Canada,Canada,CLOUD-CA,Cloud Services,,Public Cloud,0.0000,0.0000,0.0000,1,1,2026-03-31 07:46:03.176,0.0000,911,Cloud
4019219,Zaimoni.com,4847496,Essentials Server,"4847496",Essential SATA 3.0.,Online,Debian 8.x Jessie 64-bit,USD,2016-06-15 08:48:47.930,South Pointe,Herndon,IAD2,Dedicated Hosting,"64dd06e0-3280-11e6-8c27-005056af2b52",server,381.8100,381.8100,514.2580,36,1,2026-03-31 07:46:03.176,507.8073,777,Hosting
5647148,Z Blue Software,5202497,Z Blue Software - O365,"5202497",Microsoft Cloud Products,Online,,USD,2017-07-17 09:40:53.716,AZURE-US,United States,AZURE-US,Cloud Services,,Public Cloud,0.0000,0.0000,0.0000,1,1,2026-03-31 07:46:03.176,0.0000,911,Cloud
5647148,Z Blue Software,6229959,ZBlueSoftware-2020-Firewall01,"6229959",Juniper SRX 300,Online,,USD,2020-02-18 08:03:16.180,Miami,Miami,MIA,Managed Hosting,"6b675730-38ae-11ea-8d81-005056af6820",firewall,129.8600,129.8600,174.9078,12,1,2026-03-31 07:46:03.176,172.7138,930,Hosting
5647148,Z Blue Software,7076013,Microsoft Cloud,Microsoft Cloud,Microsoft Cloud,Online,,USD,2021-04-20 16:35:06.293,Cloud United States,United States,CLOUD-US,Cloud Services,,Public Cloud,0.0000,0.0000,0.0000,1,1,2026-03-31 07:46:03.176,0.0000,911,Cloud
5647148,Z Blue Software,7777212,ZBlueSoftware - 2023 -Server01,"7777212",Essential Series 5.0,Online,Windows Server 2019 Standard Edition 8 Core (4 x 2 pack),USD,2023-08-24 08:29:28.036,Miami,Miami,MIA,Managed Hosting,"5aa7341a-40fc-11ee-8d6d-005056af6820",server,698.3340,698.3340,940.5826,36,5,2026-03-31 07:46:03.176,928.7842,975,Hosting
5634313,YANDAV,6822301,MIA Web Server,"6822301",Advanced E5v3 - M,Online,CentOS 7.x 64 bit MH,USD,2021-03-08 13:48:20.653,Miami,Miami,MIA,Managed Hosting,"68d51630-62ae-11eb-9d0a-005056af6820",server,345.4880,345.4880,465.3361,12,1,2026-03-31 07:46:03.176,459.4990,795,Hosting
5634313,YANDAV,5643421,MIA FW-SRX-300,"5643421",Juniper SRX 300,Online,,USD,2018-10-10 02:39:57.696,Miami,Miami,MIA,Managed Hosting,"76e35a86-c78b-11e8-8ea8-005056af6820",firewall,87.7300,87.7300,118.1631,36,1,2026-03-31 07:46:03.176,116.6809,930,Hosting
5634313,YANDAV,7981390,Yandav GeoTrust SSL,"7981390",SSL Certificates for Hosting,Online,,USD,2026-02-12 12:23:25.890,Miami,Miami,MIA,Managed Hosting,,Security,0.0000,0.0000,0.0000,1,1,2026-03-31 07:46:03.176,0.0000,1243,Hosting
4027399,xyzmp3.com,4470655,San Antonio2,"4470655",Essential SATA 3.0.,Online,Ubuntu 14.04 64 bit,USD,2015-06-26 16:44:51.760,South Pointe,Herndon,IAD2,Dedicated Hosting,"73f898aa-f461-11ee-8245-005056af2b52",server,338.0600,338.0600,455.3313,1,1,2026-03-31 07:46:03.176,449.6198,777,Hosting
4027399,xyzmp3.com,6819459,Essential Series 5.0,"6819459",Essential Series 5.0 - D,Online,Ubuntu 20.04 64 bit,USD,2020-11-16 10:10:15.643,South Pointe,Herndon,IAD2,Dedicated Hosting,"20357236-c8ad-11e9-bcdf-005056af2b52",server,372.0500,372.0500,501.1123,12,1,2026-03-31 07:46:03.176,494.8265,974,Hosting
7009131,Xypex Chemical Corporation,6229973,Xypex.com_2020,"6229973",Essential Series 5.0 - D,Online,Windows Server 2016 Standard Edition 8 Core (Minimum per CPU),CAD,2020-02-09 00:53:30.936,Toronto,Toronto,TOR,Dedicated Hosting,"1e0fae22-3bc6-11ea-b4ef-005056866f52",server,354.3300,258.5156,354.3300,24,1,2026-03-31 07:46:03.176,354.3300,974,Hosting
7009131,Xypex Chemical Corporation,6229974,FW.Xypex.com_2020,"6229974",Juniper SRX 300,Online,,CAD,2020-02-09 00:37:11.206,Toronto,Toronto,TOR,Dedicated Hosting,"0f2ae9c8-6810-11ea-a0a0-005056866f52",firewall,148.7500,108.5265,148.7500,24,1,2026-03-31 07:46:03.176,148.7500,930,Hosting
6119616,xxcycle.com fka MALUFA,6229741,Serveur WEB 2019,"6229741",Advanced Series 5.0,Online,CentOS 7.x 64 bit MH,EUR,2019-12-12 07:29:12.676,Portsmouth,Portsmouth,POR,Managed Hosting,a83b3e9a-9645-11e8-8949-005056863a77,server,372.7900,440.3172,570.5234,36,1,2026-03-31 07:46:03.176,540.5455,957,Hosting
7000543,XOLA INC.,6179165,firewall2.wirespring.net,"6179165",Juniper SRX 300,Online,,USD,2019-07-07 19:54:41.630,Atlanta,Atlanta,ATL,Managed Hosting,e3dcd440-83d9-11e9-8c5a-005056af2b51,firewall,354.3000,354.3000,477.2049,24,1,2026-03-31 07:46:03.176,471.2190,930,Hosting
7000543,XOLA INC.,6179166,freya2.wirespring.net,"6179166",Storage Series 5.0,Online,Customer Supplied OS,USD,2019-06-01 19:57:30.726,Atlanta,Atlanta,ATL,Managed Hosting,e4d30f4a-7e5c-11e9-ae34-005056af2b51,server,1083.9100,1083.9100,1459.9130,24,1,2026-03-31 07:46:03.176,1441.6003,945,Hosting
7000543,XOLA INC.,6179167,bragi2.wirespring.net,"6179167",Storage Series 5.0,Online,Customer Supplied OS,USD,2019-06-01 19:58:00.963,Atlanta,Atlanta,ATL,Managed Hosting,"952d222c-7e5d-11e9-bd2e-005056af2b51",server,1065.8900,1065.8900,1435.6419,24,1,2026-03-31 07:46:03.176,1417.6337,945,Hosting
7000543,XOLA INC.,4505424,VMware,"4505424",VMware Solution,Online,,USD,2016-01-06 17:16:50.120,Atlanta,Atlanta,ATL,Managed Hosting,,clustering,0.0000,0.0000,0.0000,36,1,2026-03-31 07:46:03.176,0.0000,339,Hosting
7006790,XenoSight,2477191,bart.xenosight,"2477191",Essential SATA.,Online,RHEL 5 64-bit,USD,2011-11-23 12:21:16.286,Toronto,Toronto,TOR,Managed Hosting,"58b924a8-5661-11e0-a73d-0050568638f5",server,508.6100,508.6100,685.0443,12,1,2026-03-31 07:46:03.176,676.4513,174,Hosting
4021533,XELENT.NET,5596238,New XELENT.NET 2018,"5596238",Advanced E5v3 - D,Online,CentOS 7.x 64,USD,2018-09-01 01:54:19.583,South Pointe,Herndon,IAD2,Dedicated Hosting,"7c9f0134-ad6c-11e8-9bc0-005056af2b52",server,285.4100,285.4100,384.4173,36,1,2026-03-31 07:46:03.176,379.5953,808,Hosting
4012452,Wunderdog Sports LLC,6446033,srv2,"6446033",Advanced Series 5.0 - D,Online,CentOS 8.x,USD,2020-05-16 07:43:52.030,South Pointe,Herndon,IAD2,Dedicated Hosting,"5c504c08-948d-11ea-b62b-005056af2b52",server,585.3500,585.3500,788.4050,36,1,2026-03-31 07:46:03.176,778.5155,958,Hosting
4012452,Wunderdog Sports LLC,6446035,srv1,"6446035",Advanced Series 5.0 - D,Online,Alma Linux 9,USD,2020-05-16 07:44:02.393,South Pointe,Herndon,IAD2,Dedicated Hosting,e7c85c46-398c-11ef-9309-005056af2b52,server,502.4700,502.4700,676.7743,36,1,2026-03-31 07:46:03.176,668.2851,958,Hosting
4027004,WTBParts,5264654,"2017.host.new","5264654",Essential E3v5 - M,Online,CentOS 7.x 64 bit MH,USD,2017-12-12 16:21:09.026,South Pointe,Herndon,IAD2,Managed Hosting,"4c29bd18-f42d-11e6-a2cc-005056af2b52",server,377.5400,377.5400,508.5067,36,1,2026-03-31 07:46:03.176,502.1282,887,Hosting
4027004,WTBParts,3394570,NewServer.July2013,"3394570",Core 2 Quad Q9400,Online,Debian 6.x Squeeze 64-bit,USD,2013-07-05 12:08:04.663,South Pointe,Herndon,IAD2,Dedicated Hosting,"56208e2c-8973-11df-a0ec-005056bf54c7",server,200.4500,200.4500,269.9851,1,1,2026-03-31 07:46:03.176,266.5985,267,Hosting
4018210,"Wristbands With A Message, Inc.",7870820,Server3013.Virginia.2024,"7870820",Advanced Series 5.0 - D,Online,Alma Linux 8,USD,2024-06-10 14:09:33.313,South Pointe,Herndon,IAD2,Dedicated Hosting,"6154dee4-97a0-11e8-934a-005056af2b52",server,462.8520,462.8520,623.4130,36,15,2026-03-31 07:46:03.176,615.5932,958,Hosting
5674105,Worldwide Brands Inc.,7930879,MIA Firewall SRX 300,"7930879",Juniper SRX 300,Online,,USD,2025-07-14 08:11:25.586,Miami,Miami,MIA,Managed Hosting,"76ec8c18-51fa-11f0-b47f-4e4f854cb49f",firewall,172.0000,172.0000,231.6659,12,4,2026-03-31 07:46:03.176,228.7600,930,Hosting
5674105,Worldwide Brands Inc.,7930880,MIA Veeam Backup - Managed Hosting - USD Rates,"7930880",Veeam Backup - USD rates,Online,,USD,2025-06-23 13:08:16.010,Miami,Miami,MIA,Managed Hosting,,backup,0.0000,0.0000,0.0000,12,3,2026-03-31 07:46:03.176,0.0000,983,Hosting
5674105,Worldwide Brands Inc.,7930881,MIA Web Server - Windows 2022,"7930881",Advanced Series 5.0,Online,Windows Server 2022 Standard Edition 8 Core (4 x 2 pack),USD,2025-07-14 08:12:03.786,Miami,Miami,MIA,Managed Hosting,ad35bbde-5c2a-11f0-9db8-92c14286522d,server,1177.0000,1177.0000,1585.2954,12,4,2026-03-31 07:46:03.176,1565.4100,957,Hosting
